configuration_id,tap_id,tap_name,kind,block,dim,selected_step,finite,train_tf_token_exact,cal_tf_token_exact,dev_tf_token_exact,dev_tf_mean_rank,dev_tf_mean_nll,dev_tf_mean_margin,dev_tf_margin_q10,dev_tf_top2,dev_tf_top3
L19_SEED_2,23,b03_AFTER_ATTN,AFTER_ATTN,3,16,175,true,31,120,116,1.20138888889,0.453186141705,1.84871325868,-1.32504368131,143,144
L19_SEED_2,24,b03_NORM2,NORM2,3,16,150,true,30,124,125,1.13194444444,0.438449522045,1.97695849461,-1.87759625449,144,144
L19_SEED_2,25,b03_FFN_UPDATE,FFN_UPDATE,3,16,175,true,29,125,136,1.10416666667,0.422815036541,1.74301129018,-0.85693884519,137,144
L19_SEED_2,26,b03_AFTER_FFN,AFTER_FFN,3,16,200,true,31,119,119,1.17361111111,0.42961138482,1.87241766532,-1.31361412601,144,144
L19_SEED_2,27,b04_NORM1,NORM1,4,16,175,true,30,124,125,1.13194444444,0.440067155428,1.99775148494,-1.96696080296,144,144
L19_SEED_2,28,b04_CTX,CTX,4,16,25,true,27,28,35,5.54166666667,2.34957243844,-0.757629433944,-3.70421953447,68,99
L19_SEED_2,29,b04_ATT_UPDATE,ATT_UPDATE,4,16,50,true,29,45,42,6.03472222222,2.50056669903,-1.13965451596,-6.52118281655,81,95
L19_SEED_2,30,b04_AFTER_ATTN,AFTER_ATTN,4,16,150,true,31,117,117,1.1875,0.500281755385,1.57074834513,-1.44996818981,144,144
L19_SEED_2,31,b04_NORM2,NORM2,4,16,150,true,30,122,126,1.125,0.522380527129,1.79155886217,-2.47706626029,144,144
L19_SEED_2,32,b04_FFN_UPDATE,FFN_UPDATE,4,16,150,true,29,129,131,1.09722222222,0.491852077293,1.46010670609,-1.50599498802,143,144
L19_SEED_2,33,b04_AFTER_FFN,AFTER_FFN,4,16,175,true,32,107,106,1.27083333333,0.496249020593,1.5963268632,-1.58608309048,143,144
L19_SEED_2,34,b04_RELU,RELU,4,32,25,true,23,28,28,3.18055555556,2.00820542596,-1.06528761105,-4.29905952202,98,110
L19_SEED_2,35,b05_NORM1,NORM1,5,16,150,true,30,122,126,1.13194444444,0.504826196151,1.72225023565,-2.2247625045,143,144
L19_SEED_2,36,b05_ATT_UPDATE,ATT_UPDATE,5,16,25,true,26,41,43,6.28472222222,2.69181058551,-1.03692063922,-4.7466657999,70,74
L19_SEED_2,37,b05_AFTER_ATTN,AFTER_ATTN,5,16,150,true,32,103,103,1.29166666667,0.610316691711,1.33921328608,-2.05612580179,143,144
L19_SEED_2,38,b05_NORM2,NORM2,5,16,125,true,30,120,126,1.14583333333,0.605229070438,1.47603277585,-2.78440261075,143,143
L19_SEED_2,39,b05_FFN_UPDATE,FFN_UPDATE,5,16,200,true,29,122,121,1.17361111111,0.540184642488,1.17543928949,-1.41688875887,142,144
L19_SEED_2,40,b05_AFTER_FFN,AFTER_FFN,5,16,150,true,32,102,104,1.29166666667,0.577258183357,1.34280070429,-1.8460529556,142,144
L19_SEED_2,41,b06_NORM1,NORM1,6,16,150,true,30,121,124,1.16666666667,0.563096850242,1.53492720213,-2.4392653947,142,142
L19_SEED_2,42,b06_ATT_UPDATE,ATT_UPDATE,6,16,25,true,25,43,41,5.83333333333,2.56135796626,-1.12313478232,-4.70275307674,67,80
L19_SEED_2,43,b06_AFTER_ATTN,AFTER_ATTN,6,16,125,true,32,100,102,1.31944444444,0.654507039522,1.18377028669,-2.03037260591,140,144
L19_SEED_2,44,b06_NORM2,NORM2,6,16,125,true,30,119,123,1.18055555556,0.631481922961,1.34672003492,-2.53157667475,140,143
